ID,TAG,CATEGORY,RANKING,SIMILAR
1,Turn the camera to a side view,camera_angle,1000,"2,3,4,5"
2,Turn the camera to the front-side view,camera_angle,1000,"1,3,4,5"
3,Generate a new image from a rear view of the character,camera_angle,1000,"1,2,4,5"
4,Rotate the camera 45 degrees to the left,camera_angle,900,"1,2,3,5"
5,Rotate the camera 45 degrees to the right,camera_angle,900,"1,2,3,4"
6,Rotate the camera 90 degrees to the left,camera_angle,900,"7,1,2"
7,Rotate the camera 90 degrees to the right,camera_angle,900,"6,1,2"
8,Turn the camera to a low/upward view,camera_angle,950,"9,10,11"
9,Turn the camera to a top-down view,camera_angle,950,"8,10,11"
10,Turn the camera to a bird's-eye view,camera_angle,900,"9,11,8"
11,Turn the camera to a worm's-eye (upward) view,camera_angle,900,"8,10,9"
12,Rotate the camera to a three-quarters view,camera_angle,900,"1,2,3"
13,Turn the camera to a close-up,camera_angle,950,"14,15"
14,Turn the camera to a wide-angle lens,camera_angle,900,"13,15"
15,Turn the camera to a fish-eye lens,camera_angle,800,"13,14"
16,Change view of image 1 to zoom out the camera show the whole scene,camera_angle,900,"17,13"
17,Move the camera forward focus on details,camera_angle,900,"16,13"
18,Turn the camera to flip the whole scene around view,camera_angle,800,"19,3"
19,Turn the camera to the other side view,camera_angle,800,"18,1"
20,Turn the camera to a perspective behind someone's head view,camera_angle,850,"21,3"
21,Turn the camera to a behind-the-back view,camera_angle,850,"20,3"
22,Switch to an over-the-shoulder shot camera behind the subject focusing on what they see,camera_angle,900,"20,21"
23,Tilt the camera diagonally to create a dynamic cinematic sense of unease or tension,camera_angle,800,
24,Change the style to photorealistic extremely photo-realistic,style,1000,"25,26,27"
25,pencil sketch pencil drawing,style,900,"26,27"
26,Change the image into line art draft lines,style,900,"25,27"
27,Change the scene to sepia tone,style,850,"28,29"
28,convert to black and white monochrome,style,900,"27,29"
29,Add colours to the scene,style,850,"27,28"
30,enhance image quality improve clarity and detail,style,950,"31,32"
31,apply warm color temperature golden hour effect,style,900,"32,33"
32,apply cool color temperature blue hour effect,style,900,"31,33"
33,smooth skin and surfaces soft look,style,850,"30,31"
34,Change the scene to day time,scene,1000,"35,36,37"
35,Change the scene to night time,scene,1000,"34,36,37"
36,Change the scene to sunrise,scene,950,"34,35,37"
37,Change the scene to sunset,scene,950,"34,35,36"
38,Change the weather to heavy rain,weather,900,"39,40,41"
39,Change the weather to snow,weather,900,"38,40,41"
40,Change the weather to fog,weather,900,"38,39,41"
41,Change the weather to clear sky,weather,900,"38,39,40"
42,remove background completely isolate main subject,background,950,"43,44"
43,blur background while keeping foreground sharp,background,950,"42,44"
44,improve lighting and shadows balanced illumination,background,900,"42,43"
45,enhance facial features improve face details,fix,1000,"46,47"
46,correct hand anatomy improve hand details,fix,1000,"45,47"
47,remove unwanted objects and blemishes clean up artifacts,fix,950,"45,46"
48,restore old or damaged photo fix artifacts,fix,900,"47,49"
49,reduce noise and grain smooth image,fix,900,"48,50"
50,add fine details and texture enhance micro-details,fix,850,"49,48"
51,Put the characters from image 1 to sit in the chair from image 2,multi_image,900,"52,53"
52,Change the dress of the character in image 1 with the dress from image 2,multi_image,950,"51,53"
53,Replace the outfit in image 1 with the outfit from image 2,multi_image,950,"51,52"
54,Put the characters from image 1 2 and 3 together embracing,multi_image,850,"55,56"
55,Place the subject from image 1 into the background of image 2,multi_image,950,"54,56"
56,Transfer the hairstyle from image 1 to the character in image 2,multi_image,900,"54,55"
57,Make the character in image 1 adopt the pose from image 2,multi_image,950,"58,59"
58,Apply the lighting style from image 1 to image 2,multi_image,850,"57,59"
59,Arrange characters from images 1 2 and 3 in a group portrait,multi_image,850,"57,58"
60,Combine the head and the hair from image 1 with the body of image 2 to make one coherent person with correct anatomical proportions,multi_image,900,"56,57"
61,Apply the facial identity from Picture 2 onto the body in Picture 1 Maintain head position and size for Picture 1,multi_image,950,"60,56"
62,Place the character sitting on an airplane seat near the window with sunlight entering,location,850,"63,64"
63,Place the character standing inside a moving train looking outside the window,location,850,"62,64"
64,Place the character walking on a busy street in Tokyo at night surrounded by neon lights,location,900,"62,63"
65,Place the character standing at the center of Times Square in New York City,location,900,"64,66"
66,Place the character sitting in a Parisian cafe with the Eiffel Tower visible outside,location,900,"65,67"
67,Place the character standing on a desert road at sunset warm orange sky behind,location,850,"66,68"
68,Place the character sitting on a tropical beach near the ocean soft light and waves,location,900,"67,69"
