ID,TAG,CATEGORY,RANKING,SIMILAR
1,portrait,composition,,
2,close-up,composition,,
3,full-body,composition,,
4,full body shot,composition,,
5,wide shot,composition,,
6,from above,composition,,
7,from below,composition,,
8,from side,composition,,
9,from behind,composition,,
10,dutch angle,composition,,
11,rule of thirds,composition,,
12,headshot,composition,,
13,upper body,composition,,
14,three-quarter view,composition,,
15,cinematic lighting,lighting,,
16,studio lighting,lighting,,
17,natural lighting,lighting,,
18,natural light,lighting,,
19,dramatic lighting,lighting,,
20,soft lighting,lighting,,
21,rim lighting,lighting,,
22,volumetric lighting,lighting,,
23,golden hour,lighting,,
24,backlit,lighting,,
25,three-point lighting,lighting,,
26,flash with softbox,lighting,,
27,window light,lighting,,
28,candlelight,lighting,,
29,neon lighting,lighting,,
30,depth of field,camera,,
31,shallow depth of field,camera,,
32,bokeh,camera,,
33,sharp focus,camera,,
34,soft focus,camera,,
35,DSLR,camera,,
36,85mm,camera,,
37,85mm prime lens,camera,,
38,50mm,camera,,
39,50mm lens,camera,,
40,35mm,camera,,
41,35mm prime lens,camera,,
42,80mm,camera,,
43,Hasselblad,camera,,
44,full frame,camera,,
45,film grain,camera,,
46,lens flare,camera,,
47,motion blur,camera,,
48,raw photo,camera,,
49,Polaroid,camera,,
50,f/1.8,camera,,
51,f/4,camera,,
52,f/8,camera,,
53,wide aperture,camera,,
54,blurred background,camera,,
55,8k,quality,,
56,4k,quality,,
57,UHD,quality,,
58,HDR,quality,,
59,high resolution,quality,,
60,detailed,quality,,
61,highly detailed,quality,,
62,extremely detailed,quality,,
63,professional,quality,,
64,hyperrealistic,quality,,
65,photorealistic,quality,,
66,ultra detailed,quality,,
67,intricate details,quality,,
68,masterpiece,quality,,
69,best quality,quality,,
70,perfect face,quality,,
71,beautiful,quality,,
72,stunning,quality,,
73,digital art,style,,
74,concept art,style,,
75,illustration,style,,
76,oil painting,style,,
77,watercolor,style,,
78,3D render,style,,
79,CGI,style,,
80,anime,style,,
81,realistic,style,,
82,semi-realistic,style,,
83,fantasy,style,,
84,sci-fi,style,,
85,cyberpunk,style,,
86,steampunk,style,,
87,noir,style,,
88,fashion photography,style,,
89,portrait photography,style,,
90,street photography,style,,
91,editorial,style,,
92,glamour,style,,
93,candid,style,,
94,professional photo,style,,
95,amateur photo,style,,
96,pro photo,style,,
97,stock photo,style,,
98,vibrant colors,color,,
99,muted colors,color,,
100,monochrome,color,,
101,warm colors,color,,
102,cool colors,color,,
103,high contrast,color,,
104,low contrast,color,,
105,warm tone,color,,
106,cool tone,color,,
107,teal and orange,color,,
108,cinematic,aesthetic,,
109,atmospheric,aesthetic,,
110,moody,aesthetic,,
111,ethereal,aesthetic,,
112,gritty,aesthetic,,
113,clean,aesthetic,,
114,elegant,aesthetic,,
115,dark,aesthetic,,
116,bright,aesthetic,,
117,dreamy,aesthetic,,
118,peaceful,aesthetic,,
119,intense,aesthetic,,
120,romantic,aesthetic,,
121,detailed background,scene,,
122,simple background,scene,,
123,indoor,scene,,
124,outdoor,scene,,
125,urban,scene,,
126,nature,scene,,
127,studio,scene,,
128,abstract background,scene,,
129,sunflower field,scene,,
130,city street,scene,,
131,beach,scene,,
132,forest,scene,,
133,skin texture,detail,,
134,detailed skin,detail,,
135,detailed eyes,detail,,
136,beautiful eyes,detail,,
137,detailed face,detail,,
138,detailed hair,detail,,
139,fabric texture,detail,,
140,pores,detail,,
141,freckles,detail,,
142,wrinkles,detail,,
143,woman,subject,,
144,man,subject,,
145,young woman,subject,,
146,beautiful woman,subject,,
147,handsome man,subject,,
148,blonde,subject,,
149,brunette,subject,,
150,redhead,subject,,
151,smiling,expression,,
152,serious,expression,,
153,looking at viewer,expression,,
154,looking away,expression,,
155,laughing,expression,,
156,floral dress,clothing,,
157,suit,clothing,,
158,casual,clothing,,
159,elegant dress,clothing,,
